ID,Name,Author,Type,API Type,Description,Downloads,Stars,URL
28,Prediction Markets Arbitrage,karensheng,Skill,,Find and analyze arbitrage opportunities across prediction markets like Polymarket and Kalshi,100,0,https://clawhub.ai/karensheng/prediction-markets-arbitrage
29,Prediction Market Data Aggregator,karensheng,Skill,,"Prediction markets data - Polymarket, Kalshi markets, prices, positions, and trades",51,0,https://clawhub.ai/karensheng/prediction-market-data-aggregator
30,"Twitter Intelligence & Automation — Read, Search, Write & Post (Text & Media)",karensheng,Skill,,"Searches and reads X (Twitter): profiles, timelines, mentions, followers, tweet search",68,0,https://clawhub.ai/karensheng/twitter-intelligence-automation
31,Perplexity Sonar,AISADOCS,Skill,,Perplexity Sonar search and answer generation through AIsa,56,0,https://clawhub.ai/aisadocs/perplexity-sonar
32,Polymarket Spread Arbitrage,AISADOCS,Skill,,Find and analyze arbitrage opportunities across prediction markets,86,0,https://clawhub.ai/aisadocs/polymarket-spread-arbitrage
33,Polymarket Data,AISADOCS,Skill,,"Prediction markets data - Polymarket, Kalshi markets, prices, positions, and trades",84,0,https://clawhub.ai/aisadocs/polymarket-data
34,"Twitter/X All-in-One — Search, Monitor & Publish Text & Media Posts",AISADOCS,Skill,,"Searches and reads X (Twitter): profiles, timelines, mentions, followers, tweet search",170,1,https://clawhub.ai/aisadocs/twitter-all-in-one
35,"Chines LLM Models (MiniMax 2.5,Kimi 2.5, Qwen, Doubao, DeepSeek) with one key",AISADOCS,Skill,,Configure AIsa as a first-class model provider for OpenClaw,616,0,https://clawhub.ai/aisadocs/chinese-llm-models
36,Web Search by Tavily,AISADOCS,Skill,,AI-optimized web search via Tavily API proxy,4000,9,https://clawhub.ai/aisadocs/web-search-tavily
37,Query real-time and historical financial data across equities and crypto prices,AISADOCS,Skill,,Query real-time and historical financial data across equities and crypto,1100,0,https://clawhub.ai/aisadocs/financial-data
38,Intelligent search for agents. Multi-source retrieval with confidence scoring,AISADOCS,Skill,,Intelligent search for agents. Multi-source retrieval with confidence scoring,887,0,https://clawhub.ai/aisadocs/intelligent-search
39,Generate images & videos with: Gemini 3 Pro Image + Qwen Wan 2.6 (video) via one API key,AISADOCS,Skill,,Generate images & videos with AIsa,1000,2,https://clawhub.ai/aisadocs/ai-media-generation
40,Images & videos generation with Gemini 3 Pro Image + Qwen Wan 2.6 (video) via one API key,AISADOCS,Skill,,Generate images & videos with AIsa,1700,3,https://clawhub.ai/aisadocs/ai-media-generation-v2
41,Youtube Search and Tracking API,AISADOCS,Skill,,"YouTube SERP Scout for agents. Search top-ranking videos, channels, and trends",1200,0,https://clawhub.ai/aisadocs/youtube-search
42,Unified LLM Gateway - One API for 70+ AI models,AISADOCS,Skill,,Unified LLM Gateway - One API for 70+ AI models,1300,2,https://clawhub.ai/aisadocs/llm-gateway
43,X Twitter Command Center (Search + Post + Interact),chaimengphp,Skill,,"Searches and reads X (Twitter): profiles, timelines, mentions, followers, tweet search",41,0,https://clawhub.ai/chaimengphp/twitter-command-center
44,Find and analyze arbitrage opportunities across prediction markets,chaimengphp,Skill,,Find and analyze arbitrage opportunities across prediction markets like Polymarket and Kalshi,47,0,https://clawhub.ai/chaimengphp/arbitrage-opportunities
45,"Prediction markets data - Polymarket, Kalshi markets, prices, positions, and trades",chaimengphp,Skill,,"Prediction markets data - Polymarket, Kalshi markets, prices, positions, and trades",72,0,https://clawhub.ai/chaimengphp/prediction-markets-data
46,Perplexity Sonar Search,chaimengphp,Skill,,Perplexity Sonar search and answer generation through AIsa,183,0,https://clawhub.ai/chaimengphp/perplexity-sonar-search
47,Unified API for powerful image and video generation,chaimengphp,Skill,,Generate images & videos with AIsa,1100,1,https://clawhub.ai/chaimengphp/ai-media-generation
48,"One API key for 70+ AI models. Route to GPT, Claude, Gemini, Grok and more",chaimengphp,Skill,,Unified LLM Gateway - One API for 70+ AI models,822,2,https://clawhub.ai/chaimengphp/llm-gateway
49,"One API key for Chinese AI models. Route to Qwen, Deepseek",chaimengphp,Skill,,China LLM Gateway - Unified interface for Chinese LLMs,956,0,https://clawhub.ai/chaimengphp/china-llm-gateway
50,MarketPulse (Stocks + Crypto Data),chaimengphp,Skill,,Query real-time and historical financial data across equities and crypto,936,0,https://clawhub.ai/chaimengphp/marketpulse
51,YouTube SERP Scout (Rank + Discover),chaimengphp,Skill,,"YouTube SERP Scout for agents. Search top-ranking videos, channels, and trends",1000,3,https://clawhub.ai/chaimengphp/youtube-serp-scout
52,Verified Research Engine (Web + Academic + Confidence Score),chaimengphp,Skill,,"Intelligent search for agents. Multi-source retrieval across web, scholar, Tavily, and Perplexity",776,0,https://clawhub.ai/chaimengphp/research-engine
53,X Twitter Command Center (Search + Post),chaimengphp,Skill,,"Searches and reads X (Twitter): profiles, timelines, mentions, followers, tweet search",1200,0,https://clawhub.ai/chaimengphp/twitter-command-center-v2
54,Prediction Market Data (中文版),bibaofeng,Skill,,"Prediction markets data - Polymarket, Kalshi markets, prices, positions, and trades",100,0,https://clawhub.ai/bibaofeng/prediction-market-data-zh
55,Prediction Market Arbitrage (中文版),bibaofeng,Skill,,Find and analyze arbitrage opportunities across prediction markets,100,0,https://clawhub.ai/bibaofeng/prediction-market-arbitrage-zh
56,Prediction Market Data,bibaofeng,Skill,,"Prediction markets data - Polymarket, Kalshi markets, prices, positions, and trades",100,0,https://clawhub.ai/bibaofeng/prediction-market-data
57,Prediction Market (中文版),bibaofeng,Plugin,,Prediction market plugin - Chinese version,50,0,https://clawhub.ai/plugins/%40clawhub%2Fprediction-market-zh
58,Prediction Market,bibaofeng,Plugin,,Prediction market plugin - English version,50,0,https://clawhub.ai/plugins/%40clawhub%2Fprediction-market
59,AIsa Provider,bibaofeng,Plugin,,AIsa API provider plugin,100,0,https://clawhub.ai/plugins/%40aisa%2Fopenclaw-aisa-provider
60,Stock Analysis — AIsa Edition,bibaofeng,Skill,,Stock analysis using AIsa API,100,0,https://clawhub.ai/bibaofeng/stock-analysis-aisa
